Samples,60420,60421,D01_1738,D01_1740,58913,div472,div534,div678,D01_2051,D01_2121,D94_0780,D94_0853,D94_0900,D01_2542,D01_2544,D01_2546,D02_0737,D02_0923,D96_2129,D96_2125,D96_2127,D02_1635,D02_1637,D02_2495,D99_0735,D02_4772,D97_1628,D01_3687,13869,15311,8180,39548
Bait set,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37,SureSelect_All_Exon_Design_S04380110_baits_b37_human_g1k_v37
Genome size (bp),3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739,3101804739
Bait size (bp),89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926
Target size (bp),89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926,89749926
Total number of reads,104983242,103994280, 98075318, 82697680, 93039704, 82363378,110724330, 99478414, 81446398, 79425380, 88180120, 95606892, 96836270, 99396596, 85724060, 98617494, 88276640, 98039438, 96290116, 91658148, 82907098, 90429974, 93569960,100231776, 86266568, 84266172, 85593610, 86573456, 84519956, 94810728, 90810394, 98566698
On target bases (Mb),7254.39,6552.00,6880.58,6021.49,5924.34,5171.43,7180.24,4817.31,4441.91,5213.39,5097.45,5902.52,5531.96,5715.63,4906.79,6171.15,4808.21,5805.39,5749.12,5766.66,4828.20,5508.71,5964.83,6234.93,5943.64,5835.48,5957.45,4480.19,5244.58,5327.58,5931.48,5912.83
Aligned bases (Mb),9158.74,8044.69,8566.08,7489.70,7296.46,6633.95,8968.73,6066.60,5606.99,6393.62,6596.43,7735.10,7011.03,7546.73,6561.62,8243.32,6061.83,7160.21,7112.62,7412.06,6100.85,7238.67,7947.67,8305.02,7548.72,7447.87,7548.66,5853.09,7012.51,7005.86,7823.41,7703.06
Mean bait coverage,80.30,72.49,76.18,66.65,65.51,57.15,79.51,53.29,49.17,57.52,56.44,65.07,61.17,63.31,54.29,68.33,53.18,64.24,63.66,63.79,53.40,60.96,65.99,68.98,65.79,64.62,65.97,49.60,58.08,59.00,65.64,65.42
Mean target coverage,80.83,73.00,76.66,67.09,66.01,57.62,80.00,53.67,49.49,58.09,56.80,65.77,61.64,63.68,54.67,68.76,53.57,64.68,64.06,64.25,53.80,61.38,66.46,69.47,66.22,65.02,66.38,49.92,58.44,59.36,66.09,65.88
Fraction bp on bait,0.68,0.62,0.69,0.72,0.63,0.62,0.64,0.48,0.54,0.64,0.57,0.60,0.56,0.57,0.56,0.62,0.54,0.58,0.59,0.62,0.57,0.60,0.63,0.61,0.68,0.68,0.68,0.51,0.61,0.55,0.64,0.59
Fraction bp near bait,0.04,0.03,0.05,0.04,0.04,0.05,0.05,0.02,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.05,0.04,0.05,0.06,0.05,0.03,0.04,0.04,0.05,0.03
Fraction bp off bait,0.15,0.12,0.13,0.14,0.11,0.13,0.11,0.10,0.12,0.11,0.14,0.16,0.13,0.15,0.15,0.18,0.11,0.10,0.10,0.15,0.13,0.16,0.16,0.17,0.14,0.14,0.14,0.13,0.17,0.14,0.16,0.15
Fraction bp not aligned,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03
Capture specificity,0.85,0.88,0.87,0.86,0.89,0.87,0.89,0.90,0.88,0.89,0.86,0.84,0.87,0.85,0.85,0.82,0.89,0.90,0.90,0.85,0.87,0.84,0.84,0.83,0.86,0.86,0.86,0.87,0.83,0.86,0.84,0.85
Fraction target covered >= 2x,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.99,0.97,0.98,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99
Fraction target covered >= 10x,0.95,0.94,0.95,0.93,0.94,0.93,0.96,0.93,0.92,0.92,0.93,0.91,0.93,0.94,0.94,0.94,0.93,0.95,0.95,0.94,0.91,0.93,0.95,0.95,0.95,0.94,0.94,0.91,0.93,0.93,0.94,0.93
Fraction target covered >= 20x,0.87,0.85,0.87,0.83,0.85,0.83,0.89,0.82,0.78,0.82,0.82,0.82,0.82,0.83,0.82,0.84,0.81,0.88,0.86,0.84,0.78,0.81,0.85,0.86,0.86,0.85,0.84,0.76,0.80,0.81,0.84,0.83
Fraction target covered >= 30x,0.78,0.76,0.77,0.72,0.74,0.71,0.81,0.70,0.64,0.70,0.69,0.71,0.70,0.72,0.68,0.74,0.68,0.77,0.75,0.72,0.65,0.70,0.74,0.75,0.75,0.73,0.73,0.62,0.68,0.69,0.73,0.72
Fraction usable bases on target,0.68,0.62,0.69,0.72,0.63,0.62,0.64,0.48,0.54,0.64,0.57,0.60,0.56,0.57,0.56,0.62,0.54,0.58,0.59,0.62,0.57,0.60,0.63,0.61,0.68,0.68,0.68,0.51,0.61,0.55,0.64,0.59
Mean read length,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
Strand balance,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Median insert size,234,225,247,231,240,264,255,222,229,241,239,230,230,234,245,226,237,252,249,234,233,240,261,245,254,260,250,242,247,247,251,231
Mean insert size,229.99,218.85,243.45,228.61,235.77,258.36,250.66,218.83,225.63,237.72,236.19,226.47,227.95,232.06,240.41,223.77,233.08,245.89,246.18,230.93,227.37,236.48,253.52,239.01,249.11,254.19,246.31,239.04,239.90,239.61,245.09,227.82
Standard deviation insert size,39.05,40.14,37.22,36.86,39.64,42.24,40.56,34.33,35.10,39.67,35.63,35.37,35.07,45.42,42.61,34.94,37.26,41.37,38.30,35.23,35.44,40.70,47.30,35.16,40.76,42.30,41.04,34.28,42.46,39.90,40.66,33.93
Number of SNPs for concordance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Concordance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
